3523  4065  217
3272  212  2390
5626  4673  1311
238  231  447
988  5072  4857
1553  499  5223
4300  3597  2151
4604  217  4065
4057  1384  1871
927  3523  1688
2256  4903  3118
1659  1871  1384
3532  3379  635
3798  3298  129
3804  6171  3820
5989  396  1898
4674  3  5199
3  5676  5199
2984  2738  2739
3059  6005  5778
1149  5991  2013
4053  1178  5938
5777  5776  6000
1777  6194  4105
717  5807  5218
1158  1833  6137
2025  502  1727
4265  3462  5922
446  182  6251
4859  3573  3403
1211  5099  1212
1835  3440  4138
6075  408  2182
5054  449  5690
4705  1263  707
5129  395  2914
2041  293  4123
2606  2237  1695
2070  2397  5779
334  4099  3275
699  3899  6135
5201  5671  1897
5141  5717  5928
2525  4674  5431
4302  6251  5378
4697  3133  294
3133  4697  6161
4362  5910  4652
2714  328  2807
3274  396  5732
3023  82  496
5489  2141  179
2423  505  3449
82  2721  3921
5642  5525  6380
4367  1760  5572
5562  3086  275
1079  2997  3568
878  4003  2493
3811  5089  3812
4963  4949  2070
1297  3395  1729
6281  155  5580
3289  225  2868
620  1835  1974
275  2218  5562
2337  4676  2160
6397  5037  2332
6397  5181  5037
4584  5522  5354
1023  1194  6240
2154  4916  2063
5607  266  1820
4007  2903  1169
1925  1331  3382
1889  4767  727
5807  6370  5218
1040  313  1025
3471  1219  3823
4134  664  3912
4064  4702  4344
1027  4436  2798
5607  5126  1773
4860  3698  5757
3378  5645  4959
4449  3699  4919
2019  5628  1722
1911  5396  1166
5629  2984  6440
1538  1771  167
4496  4495  4046
1388  1385  4769
4447  3780  3731
3702  1160  5526
2030  2811  1552
2811  1990  5929
6251  182  2453
5926  1978  4206
4954  4440  6432
5137  6247  6132
3906  3668  579
5817  6328  1783
3810  3714  701
1030  4865  1171
6162  3020  5521
5025  1604  3682
229  953  2382
3658  5689  2995
818  467  1389
953  2495  2382
842  2801  4369
1437  3087  5570
2554  1057  3615
8  1246  1535
5626  5392  411
2952  5316  1549
2778  6148  1549
5985  2496  5992
5873  4677  162
5548  2632  2635
3518  6167  4264
6377  4573  2775
2864  2635  2632
5131  1424  4000
3017  3535  3528
935  2425  2302
475  5498  6241
3535  3017  4847
1195  1198  4229
3640  6418  6191
5843  1004  1561
6279  445  2820
5150  2394  668
3402  2061  5373
4431  3087  2992
400  5678  4203
1663  2521  6245
2911  1403  4529
6281  6045  4913
6132  6080  6164
2567  5680  1068
6437  2551  4440
5995  1083  5569
2154  3704  4916
444  2723  4375
6071  1919  4513
5139  3797  959
2944  5099  924
1269  5220  2029
3789  5222  3002
1151  3997  110
4680  2333  296
5150  2636  4063
4696  757  3960
1970  2336  173
3290  9  2766
2336  1970  3492
2432  2433  4260
4651  1112  4004
5050  157  151
3540  157  5050
2911  4529  5317
5375  984  2817
3825  3930  2914
177  1421  959
3621  4669  4548
3062  5022  3060
2685  4694  171
3210  3292  5566
698  5628  5474
570  6223  5116
702  1789  4263
414  1920  6184
209  5465  3617
3060  1767  3682
762  4450  2128
4268  5996  2855
4871  880  3989
3078  5392  2033
6082  1262  4064
6158  319  3569
653  6046  6045
4366  6138  3364
6075  4507  408
3401  932  3400
6180  3775  2152
1604  1816  3682
2596  531  4771
3045  5460  5459
3556  2573  503
407  3729  498
6187  1174  2302
5375  5118  2686
4512  3539  4508
3704  6048  4916
5025  1601  4357
1331  1925  2431
2530  235  3308
1261  5242  4860
2341  6136  4466
3404  6245  2521
6185  5242  1261
6076  1125  1132
2188  2495  5499
3405  398  5079
1893  2107  5028
5838  6076  2708
5020  77  4000
3403  5905  6441
6256  534  766
1703  2385  5122
3301  5998  4230
2618  5990  1191
2848  2725  1196
4551  5447  4133
2725  4102  1196
4684  5628  3297
2615  2766  9
907  5803  5991
931  2549  5298
1268  4824  5524
4772  6284  6170
3188  2331  1545
1377  2846  2919
1541  707  623
2113  25  3374
2430  864  4445
2805  2988  6176
5935  2679  2253
4864  1951  5049
3572  1980  3283
2385  5356  5122
2253  2679  2611
409  3537  2528
4592  5648  5649
4486  4483  2301
1389  467  4181
652  240  4098
2005  5319  3624
3377  5359  4820
3827  418  619
5395  1978  698
3232  5220  1726
3236  1308  5565
4226  6150  2947
3676  1562  3497
6146  3594  2783
3700  5399  4910
4703  5645  3792
4564  6166  6134
14  3373  3463
3775  6180  58
1770  1811  1766
3378  2262  3464
4560  2567  1068
4560  4173  2217
1975  5864  658
2215  3006  2637
1054  3823  3659
948  4509  1309
2113  3374  821
3232  2029  5220
5806  6134  61
5111  5642  6380
4408  5572  5814
5924  2941  1476
3547  1428  558
2870  377  2157
4577  6089  1686
4705  4577  1265
1686  1901  1002
703  2772  3631
4803  3780  4447
776  1450  2229
1476  2941  2940
2482  583  2810
3272  2390  3930
855  956  3300
5822  4869  5086
1426  1431  4432
6160  3432  1248
4432  1431  5377
1466  3113  4653
1080  1909  5520
720  5199  3070
6160  1248  2819
355  347  1219
2296  4914  3699
5378  753  2735
773  5378  2735
1600  5032  936
87  4701  5850
1968  5561  5525
3866  466  2418
3087  2993  295
3610  3619  3618
2702  1009  1976
2994  2991  295
1237  3613  1987
3542  4045  4044
6438  4267  5429
1451  1767  3060
5029  1988  2254
1466  4653  2732
297  2525  4814
2308  5021  4820
1451  5021  2308
3661  955  793
197  617  5078
4261  562  4405
5990  2184  1192
5380  5458  116
4606  3950  2036
3912  2065  4134
1437  5995  5569
5756  4  5315
5969  6049  3259
3968  2331  4124
2769  2244  1537
3224  3779  3974
2231  5648  3790
6053  2817  1810
4549  2069  3478
2354  4528  2618
319  2853  3990
269  4356  1001
5156  2571  1285
5127  319  3990
5589  1926  557
4562  2552  2222
568  4550  466
3658  6179  6178
5136  1669  3794
4568  4358  3066
5821  4605  5240
3406  5240  4605
5240  3406  621
1771  6184  167
6280  152  153
6331  2764  1047
5566  5113  5959
1469  3955  5502
448  3955  991
11  3216  3442
5526  3969  2159
271  5186  6393
3795  1704  185
2  6232  3289
4534  4705  1265
3228  1841  5936
4698  6186  1257
3698  3677  5081
2529  3947  6047
2323  5370  1964
2331  654  1545
5113  2729  164
6381  2131  2482
6394  5793  3441
5223  499  3573
1951  1273  5049
2618  4528  3225
4841  4597  4308
4807  2227  1703
4416  6155  6255
5566  5959  2775
23  24  2324
4914  4919  3699
4370  842  4369
4548  5738  2242
329  3468  3219
4807  5122  1402
6309  4651  1276
2554  3965  3961
3953  3956  2367
57  1722  5628
5925  5292  743
2522  3082  1128
6329  6185  2529
1377  149  2846
4369  4609  5596
3402  3116  2061
2136  1689  519
2713  6378  3775
1818  1533  4902
2548  4548  2242
3303  5019  6080
3550  5814  1760
1597  936  1556
5626  1311  5350
21  4309  4353
6322  1065  537
6052  2870  2157
2418  465  3866
6045  6046  2919
1425  1428  3547
4433  2853  5600
3815  329  5092
4352  861  4398
1963  6048  369
2472  4655  419
2617  7  3282
149  1377  1378
3697  350  3468
77  3309  1811
3749  3752  2981
5925  4603  5292
4673  4403  1311
5792  5089  3811
4433  3681  6173
3681  2738  6173
1928  448  4678
448  4270  4678
3388  5502  1928
812  1374  757
4849  2674  5044
567  3574  563
3878  756  857
5753  4901  2189
2554  3615  535
5223  315  5048
289  1475  1457
1459  224  5397
4235  3195  5098
1760  5814  5572
856  3020  6162
1697  3629  3073
4615  404  109
4615  2454  5084
3777  5708  2252
4447  3731  1907
6280  2063  152
4264  3278  3518
4442  4491  4121
4267  2545  5429
2258  6055  631
2919  2846  4913
5543  1280  4897
2159  3969  2808
1388  4501  4494
2946  1965  3675
2602  2033  2032
4046  5372  4496
6438  6439  4267
1199  5502  3388
179  2141  2725
